key	en_us	non_is	note
advancements.adventure.bullseye.description	Hit the bullseye of a Target block from at least 30 meters away	Hit the bullseye of a Target block from at least 30 meters away	review needed
advancements.adventure.bullseye.title	Bullseye	Bullseye	review needed
advancements.adventure.craft_decorated_pot_using_only_sherds.description	Make a Decorated Pot out of 4 Pottery Sherds	Make a Decorated Pot out of 4 Pottery Sherds	review needed
advancements.adventure.craft_decorated_pot_using_only_sherds.title	Careful Restoration	Careful Restoration	review needed
advancements.adventure.crafters_crafting_crafters.description	advancements.adventure.crafters_crafting_crafters.description	advancements.adventure.crafters_crafting_crafters.description	review needed
advancements.adventure.crafters_crafting_crafters.title	advancements.adventure.crafters_crafting_crafters.title	advancements.adventure.crafters_crafting_crafters.title	review needed
advancements.adventure.fall_from_world_height.description	Free fall from the top of the world (build limit) to the bottom of the world and survive	Free fall from the top of the world (build limit) to the bottom of the world and survive	review needed
advancements.adventure.fall_from_world_height.title	Caves & Cliffs	Caves & Cliffs	review needed
advancements.adventure.heart_transplanter.description	advancements.adventure.heart_transplanter.description	advancements.adventure.heart_transplanter.description	review needed
advancements.adventure.heart_transplanter.title	advancements.adventure.heart_transplanter.title	advancements.adventure.heart_transplanter.title	review needed
advancements.adventure.hero_of_the_village.description	Successfully defend a village from a raid	Successfully defend a village from a raid	review needed
advancements.adventure.hero_of_the_village.title	Hero of the Village	Hero of the Village	review needed
advancements.adventure.honey_block_slide.description	Jump into a Honey Block to break your fall	Jump into a Honey Block to break your fall	review needed
advancements.adventure.honey_block_slide.title	Sticky Situation	Sticky Situation	review needed
advancements.adventure.kill_a_mob.description	Kill any hostile monster	Kill any hostile monster	review needed
advancements.adventure.kill_a_mob.title	Monster Hunter	Monster Hunter	review needed
advancements.adventure.kill_all_mobs.description	Kill one of every hostile monster	Kill one of every hostile monster	review needed
advancements.adventure.kill_all_mobs.title	Monsters Hunted	Monsters Hunted	review needed
advancements.adventure.kill_mob_near_sculk_catalyst.description	Kill a mob near a Sculk Catalyst	Kill a mob near a Sculk Catalyst	review needed
advancements.adventure.kill_mob_near_sculk_catalyst.title	It Spreads	It Spreads	review needed
advancements.adventure.lighten_up.description	advancements.adventure.lighten_up.description	advancements.adventure.lighten_up.description	review needed
advancements.adventure.lighten_up.title	advancements.adventure.lighten_up.title	advancements.adventure.lighten_up.title	review needed
advancements.adventure.lightning_rod_with_villager_no_fire.description	Protect a Villager from an undesired shock without starting a fire	Protect a Villager from an undesired shock without starting a fire	review needed
advancements.adventure.lightning_rod_with_villager_no_fire.title	Surge Protector	Surge Protector	review needed
advancements.adventure.minecraft_trials_edition.description	advancements.adventure.minecraft_trials_edition.description	advancements.adventure.minecraft_trials_edition.description	review needed
advancements.adventure.minecraft_trials_edition.title	advancements.adventure.minecraft_trials_edition.title	advancements.adventure.minecraft_trials_edition.title	review needed
advancements.adventure.ol_betsy.description	Shoot a Crossbow	Shoot a Crossbow	review needed
advancements.adventure.ol_betsy.title	Ol' Betsy	Ol' Betsy	review needed
advancements.adventure.overoverkill.description	advancements.adventure.overoverkill.description	advancements.adventure.overoverkill.description	review needed
advancements.adventure.overoverkill.title	advancements.adventure.overoverkill.title	advancements.adventure.overoverkill.title	review needed
advancements.adventure.play_jukebox_in_meadows.description	Make the Meadows come alive with the sound of music from a Jukebox	Make the Meadows come alive with the sound of music from a Jukebox	review needed
advancements.adventure.play_jukebox_in_meadows.title	Sound of Music	Sound of Music	review needed
advancements.adventure.read_power_from_chiseled_bookshelf.description	Read the power signal of a Chiseled Bookshelf using a Comparator	Read the power signal of a Chiseled Bookshelf using a Comparator	review needed
advancements.adventure.read_power_from_chiseled_bookshelf.title	The Power of Books	The Power of Books	review needed
advancements.adventure.revaulting.description	advancements.adventure.revaulting.description	advancements.adventure.revaulting.description	review needed
advancements.adventure.revaulting.title	advancements.adventure.revaulting.title	advancements.adventure.revaulting.title	review needed
advancements.adventure.root.description	Adventure, exploration and combat	Adventure, exploration and combat	review needed
advancements.adventure.root.title	Adventure	Adventure	review needed
advancements.adventure.salvage_sherd.description	Brush a Suspicious block to obtain a Pottery Sherd	Brush a Suspicious block to obtain a Pottery Sherd	review needed
advancements.adventure.salvage_sherd.title	Respecting the Remnants	Respecting the Remnants	review needed
advancements.adventure.shoot_arrow.description	Shoot something with an Arrow	Shoot something with an Arrow	review needed
advancements.adventure.shoot_arrow.title	Take Aim	Take Aim	review needed
advancements.adventure.sleep_in_bed.description	Sleep in a Bed to change your respawn point	Sleep in a Bed to change your respawn point	review needed
advancements.adventure.sleep_in_bed.title	Sweet Dreams	Sweet Dreams	review needed
advancements.adventure.sniper_duel.description	Kill a Skeleton from at least 50 meters away	Kill a Skeleton from at least 50 meters away	review needed
advancements.adventure.sniper_duel.title	Sniper Duel	Sniper Duel	review needed
advancements.adventure.spear_many_mobs.description	advancements.adventure.spear_many_mobs.description	advancements.adventure.spear_many_mobs.description	review needed
advancements.adventure.spear_many_mobs.title	advancements.adventure.spear_many_mobs.title	advancements.adventure.spear_many_mobs.title	review needed
advancements.adventure.spyglass_at_dragon.description	Look at the Ender Dragon through a Spyglass	Look at the Ender Dragon through a Spyglass	review needed
advancements.adventure.spyglass_at_dragon.title	Is It a Plane?	Is It a Plane?	review needed
advancements.adventure.spyglass_at_ghast.description	Look at a Ghast through a Spyglass	Look at a Ghast through a Spyglass	review needed
advancements.adventure.spyglass_at_ghast.title	Is It a Balloon?	Is It a Balloon?	review needed
advancements.adventure.spyglass_at_parrot.description	Look at a Parrot through a Spyglass	Look at a Parrot through a Spyglass	review needed
advancements.adventure.spyglass_at_parrot.title	Is It a Bird?	Is It a Bird?	review needed
advancements.adventure.summon_iron_golem.description	Summon an Iron Golem to help defend a village	Summon an Iron Golem to help defend a village	review needed
advancements.adventure.summon_iron_golem.title	Hired Help	Hired Help	review needed
advancements.adventure.throw_trident.description	"Throw a Trident at something.
Note: Throwing away your only weapon is not a good idea."	"Throw a Trident at something.
Note: Throwing away your only weapon is not a good idea."	review needed
advancements.adventure.throw_trident.title	A Throwaway Joke	A Throwaway Joke	review needed
advancements.adventure.totem_of_undying.description	Use a Totem of Undying to cheat death	Use a Totem of Undying to cheat death	review needed
advancements.adventure.totem_of_undying.title	Postmortal	Postmortal	review needed
advancements.adventure.trade.description	Successfully trade with a Villager	Successfully trade with a Villager	review needed
advancements.adventure.trade.title	What a Deal!	What a Deal!	review needed
advancements.adventure.trade_at_world_height.description	Trade with a Villager at the build height limit	Trade with a Villager at the build height limit	review needed
advancements.adventure.trade_at_world_height.title	Star Trader	Star Trader	review needed
advancements.adventure.trim_with_all_exclusive_armor_patterns.description	Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder	Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder	review needed
advancements.adventure.trim_with_all_exclusive_armor_patterns.title	Smithing with Style	Smithing with Style	review needed
advancements.adventure.trim_with_any_armor_pattern.description	Craft a trimmed armor at a Smithing Table	Craft a trimmed armor at a Smithing Table	review needed
advancements.adventure.trim_with_any_armor_pattern.title	Crafting a New Look	Crafting a New Look	review needed
advancements.adventure.two_birds_one_arrow.description	Kill two Phantoms with a piercing Arrow	Kill two Phantoms with a piercing Arrow	review needed
advancements.adventure.two_birds_one_arrow.title	Two Birds, One Arrow	Two Birds, One Arrow	review needed
advancements.adventure.under_lock_and_key.description	advancements.adventure.under_lock_and_key.description	advancements.adventure.under_lock_and_key.description	review needed
advancements.adventure.under_lock_and_key.title	advancements.adventure.under_lock_and_key.title	advancements.adventure.under_lock_and_key.title	review needed
advancements.adventure.use_lodestone.description	advancements.adventure.use_lodestone.description	advancements.adventure.use_lodestone.description	review needed
advancements.adventure.use_lodestone.title	advancements.adventure.use_lodestone.title	advancements.adventure.use_lodestone.title	review needed
advancements.adventure.very_very_frightening.description	Strike a Villager with lightning	Strike a Villager with lightning	review needed
advancements.adventure.very_very_frightening.title	Very Very Frightening	Very Very Frightening	review needed
advancements.adventure.voluntary_exile.description	"Kill a raid captain.
Maybe consider staying away from villages for the time being..."	"Kill a raid captain.
Maybe consider staying away from villages for the time being..."	review needed
advancements.adventure.voluntary_exile.title	Voluntary Exile	Voluntary Exile	review needed
advancements.adventure.walk_on_powder_snow_with_leather_boots.description	Walk on Powder Snow... without sinking in it	Walk on Powder Snow... without sinking in it	review needed
advancements.adventure.walk_on_powder_snow_with_leather_boots.title	Light as a Rabbit	Light as a Rabbit	review needed
advancements.adventure.who_needs_rockets.description	advancements.adventure.who_needs_rockets.description	advancements.adventure.who_needs_rockets.description	review needed
advancements.adventure.who_needs_rockets.title	advancements.adventure.who_needs_rockets.title	advancements.adventure.who_needs_rockets.title	review needed
advancements.adventure.whos_the_pillager_now.description	Give a Pillager a taste of their own medicine	Give a Pillager a taste of their own medicine	review needed
advancements.adventure.whos_the_pillager_now.title	Who's the Pillager Now?	Who's the Pillager Now?	review needed
advancements.empty	There doesn't seem to be anything here...	There doesn't seem to be anything here...	review needed
advancements.end.dragon_breath.description	Collect Dragon's Breath in a Glass Bottle	Collect Dragon's Breath in a Glass Bottle	review needed
advancements.end.dragon_breath.title	You Need a Mint	You Need a Mint	review needed
advancements.end.dragon_egg.description	Hold the Dragon Egg	Hold the Dragon Egg	review needed
advancements.end.dragon_egg.title	The Next Generation	The Next Generation	review needed
advancements.end.elytra.description	Find Elytra	Find Elytra	review needed
advancements.end.elytra.title	Sky's the Limit	Sky's the Limit	review needed
advancements.end.enter_end_gateway.description	Escape the island	Escape the island	review needed
advancements.end.enter_end_gateway.title	Remote Getaway	Remote Getaway	review needed
advancements.end.find_end_city.description	Go on in, what could happen?	Go on in, what could happen?	review needed
advancements.end.find_end_city.title	The City at the End of the Game	The City at the End of the Game	review needed
advancements.end.kill_dragon.description	Good luck	Good luck	review needed
advancements.end.kill_dragon.title	Free the End	Free the End	review needed
advancements.end.levitate.description	Levitate up 50 blocks from the attacks of a Shulker	Levitate up 50 blocks from the attacks of a Shulker	review needed
advancements.end.levitate.title	Great View From Up Here	Great View From Up Here	review needed
advancements.end.respawn_dragon.description	Respawn the Ender Dragon	Respawn the Ender Dragon	review needed
advancements.end.respawn_dragon.title	The End... Again...	The End... Again...	review needed
advancements.end.root.description	Or the beginning?	Or the beginning?	review needed
advancements.end.root.title	The End	The End	review needed
advancements.husbandry.allay_deliver_cake_to_note_block.description	Have an Allay drop a Cake at a Note Block	Have an Allay drop a Cake at a Note Block	review needed
advancements.husbandry.allay_deliver_cake_to_note_block.title	Birthday Song	Birthday Song	review needed
advancements.husbandry.allay_deliver_item_to_player.description	Have an Allay deliver items to you	Have an Allay deliver items to you	review needed
advancements.husbandry.allay_deliver_item_to_player.title	You've Got a Friend in Me	You've Got a Friend in Me	review needed
advancements.husbandry.axolotl_in_a_bucket.description	Catch an Axolotl in a Bucket	Catch an Axolotl in a Bucket	review needed
advancements.husbandry.axolotl_in_a_bucket.title	The Cutest Predator	The Cutest Predator	review needed
advancements.husbandry.balanced_diet.description	Eat everything that is edible, even if it's not good for you	Eat everything that is edible, even if it's not good for you	review needed
advancements.husbandry.balanced_diet.title	A Balanced Diet	A Balanced Diet	review needed
advancements.husbandry.breed_all_animals.description	Breed all the animals!	Breed all the animals!	review needed
advancements.husbandry.breed_all_animals.title	Two by Two	Two by Two	review needed
advancements.husbandry.breed_an_animal.description	Breed two animals together	Breed two animals together	review needed
advancements.husbandry.breed_an_animal.title	The Parrots and the Bats	The Parrots and the Bats	review needed
advancements.husbandry.complete_catalogue.description	Tame all Cat variants!	Tame all Cat variants!	review needed
advancements.husbandry.complete_catalogue.title	A Complete Catalogue	A Complete Catalogue	review needed
advancements.husbandry.feed_snifflet.description	Feed a Snifflet	Feed a Snifflet	review needed
advancements.husbandry.feed_snifflet.title	Little Sniffs	Little Sniffs	review needed
advancements.husbandry.fishy_business.description	Catch a fish	Catch a fish	review needed
advancements.husbandry.fishy_business.title	Fishy Business	Fishy Business	review needed
advancements.husbandry.froglights.description	Have all Froglights in your inventory	Have all Froglights in your inventory	review needed
advancements.husbandry.froglights.title	With Our Powers Combined!	With Our Powers Combined!	review needed
advancements.husbandry.kill_axolotl_target.description	Team up with an Axolotl and win a fight	Team up with an Axolotl and win a fight	review needed
advancements.husbandry.kill_axolotl_target.title	The Healing Power of Friendship!	The Healing Power of Friendship!	review needed
advancements.husbandry.leash_all_frog_variants.description	Get each Frog variant on a Lead	Get each Frog variant on a Lead	review needed
advancements.husbandry.leash_all_frog_variants.title	When the Squad Hops into Town	When the Squad Hops into Town	review needed
advancements.husbandry.make_a_sign_glow.description	Make the text of any kind of sign glow	Make the text of any kind of sign glow	review needed
advancements.husbandry.make_a_sign_glow.title	Glow and Behold!	Glow and Behold!	review needed
advancements.husbandry.netherite_hoe.description	Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices	Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices	review needed
advancements.husbandry.netherite_hoe.title	Serious Dedication	Serious Dedication	review needed
advancements.husbandry.obtain_sniffer_egg.description	Obtain a Sniffer Egg	Obtain a Sniffer Egg	review needed
advancements.husbandry.obtain_sniffer_egg.title	Smells Interesting	Smells Interesting	review needed
advancements.husbandry.place_dried_ghast_in_water.description	advancements.husbandry.place_dried_ghast_in_water.description	advancements.husbandry.place_dried_ghast_in_water.description	review needed
advancements.husbandry.place_dried_ghast_in_water.title	advancements.husbandry.place_dried_ghast_in_water.title	advancements.husbandry.place_dried_ghast_in_water.title	review needed
advancements.husbandry.plant_any_sniffer_seed.description	Plant any Sniffer seed	Plant any Sniffer seed	review needed
advancements.husbandry.plant_any_sniffer_seed.title	Planting the Past	Planting the Past	review needed
advancements.husbandry.plant_seed.description	Plant a seed and watch it grow	Plant a seed and watch it grow	review needed
advancements.husbandry.plant_seed.title	A Seedy Place	A Seedy Place	review needed
advancements.husbandry.remove_wolf_armor.description	advancements.husbandry.remove_wolf_armor.description	advancements.husbandry.remove_wolf_armor.description	review needed
advancements.husbandry.remove_wolf_armor.title	advancements.husbandry.remove_wolf_armor.title	advancements.husbandry.remove_wolf_armor.title	review needed
advancements.husbandry.repair_wolf_armor.description	advancements.husbandry.repair_wolf_armor.description	advancements.husbandry.repair_wolf_armor.description	review needed
advancements.husbandry.repair_wolf_armor.title	advancements.husbandry.repair_wolf_armor.title	advancements.husbandry.repair_wolf_armor.title	review needed
advancements.husbandry.ride_a_boat_with_a_goat.description	Get in a Boat and float with a Goat	Get in a Boat and float with a Goat	review needed
advancements.husbandry.ride_a_boat_with_a_goat.title	Whatever Floats Your Goat!	Whatever Floats Your Goat!	review needed
advancements.husbandry.root.description	The world is full of friends and food	The world is full of friends and food	review needed
advancements.husbandry.root.title	Husbandry	Husbandry	review needed
advancements.husbandry.safely_harvest_honey.description	Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees	Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees	review needed
advancements.husbandry.safely_harvest_honey.title	Bee Our Guest	Bee Our Guest	review needed
advancements.husbandry.silk_touch_nest.description	Move a Bee Nest, with 3 Bees inside, using Silk Touch	Move a Bee Nest, with 3 Bees inside, using Silk Touch	review needed
advancements.husbandry.silk_touch_nest.title	Total Beelocation	Total Beelocation	review needed
advancements.husbandry.tactical_fishing.description	Catch a Fish... without a Fishing Rod!	Catch a Fish... without a Fishing Rod!	review needed
advancements.husbandry.tactical_fishing.title	Tactical Fishing	Tactical Fishing	review needed
advancements.husbandry.tadpole_in_a_bucket.description	Catch a Tadpole in a Bucket	Catch a Tadpole in a Bucket	review needed
advancements.husbandry.tadpole_in_a_bucket.title	Bukkit Bukkit	Bukkit Bukkit	review needed
advancements.husbandry.tame_an_animal.description	Tame an animal	Tame an animal	review needed
advancements.husbandry.tame_an_animal.title	Best Friends Forever	Best Friends Forever	review needed
advancements.husbandry.wax_off.description	Scrape Wax off of a Copper block!	Scrape Wax off of a Copper block!	review needed
advancements.husbandry.wax_off.title	Wax Off	Wax Off	review needed
advancements.husbandry.wax_on.description	Apply Honeycomb to a Copper block!	Apply Honeycomb to a Copper block!	review needed
advancements.husbandry.wax_on.title	Wax On	Wax On	review needed
advancements.husbandry.whole_pack.description	advancements.husbandry.whole_pack.description	advancements.husbandry.whole_pack.description	review needed
advancements.husbandry.whole_pack.title	advancements.husbandry.whole_pack.title	advancements.husbandry.whole_pack.title	review needed
advancements.nether.all_effects.description	Have every effect applied at the same time	Have every effect applied at the same time	review needed
advancements.nether.all_effects.title	How Did We Get Here?	How Did We Get Here?	review needed
advancements.nether.all_potions.description	Have every potion effect applied at the same time	Have every potion effect applied at the same time	review needed
advancements.nether.all_potions.title	A Furious Cocktail	A Furious Cocktail	review needed
advancements.nether.brew_potion.description	Brew a Potion	Brew a Potion	review needed
advancements.nether.brew_potion.title	Local Brewery	Local Brewery	review needed
advancements.nether.charge_respawn_anchor.description	Charge a Respawn Anchor to the maximum	Charge a Respawn Anchor to the maximum	review needed
advancements.nether.charge_respawn_anchor.title	"Not Quite ""Nine"" Lives"	"Not Quite ""Nine"" Lives"	review needed
advancements.nether.create_beacon.description	Construct and place a Beacon	Construct and place a Beacon	review needed
advancements.nether.create_beacon.title	Bring Home the Beacon	Bring Home the Beacon	review needed
advancements.nether.create_full_beacon.description	Bring a Beacon to full power	Bring a Beacon to full power	review needed
advancements.nether.create_full_beacon.title	Beaconator	Beaconator	review needed
advancements.nether.distract_piglin.description	Distract Piglins with gold	Distract Piglins with gold	review needed
advancements.nether.distract_piglin.title	Oh Shiny	Oh Shiny	review needed
advancements.nether.explore_nether.description	Explore all Nether biomes	Explore all Nether biomes	review needed
advancements.nether.explore_nether.title	Hot Tourist Destinations	Hot Tourist Destinations	review needed
advancements.nether.fast_travel.description	Use the Nether to travel 7 km in the Overworld	Use the Nether to travel 7 km in the Overworld	review needed
advancements.nether.fast_travel.title	Subspace Bubble	Subspace Bubble	review needed
advancements.nether.find_bastion.description	Enter a Bastion Remnant	Enter a Bastion Remnant	review needed
advancements.nether.find_bastion.title	Those Were the Days	Those Were the Days	review needed
advancements.nether.find_fortress.description	Break your way into a Nether Fortress	Break your way into a Nether Fortress	review needed
advancements.nether.find_fortress.title	A Terrible Fortress	A Terrible Fortress	review needed
advancements.nether.get_wither_skull.description	Obtain a Wither Skeleton's skull	Obtain a Wither Skeleton's skull	review needed
advancements.nether.get_wither_skull.title	Spooky Scary Skeleton	Spooky Scary Skeleton	review needed
advancements.nether.loot_bastion.description	Loot a Chest in a Bastion Remnant	Loot a Chest in a Bastion Remnant	review needed
advancements.nether.loot_bastion.title	War Pigs	War Pigs	review needed
advancements.nether.netherite_armor.description	Get a full suit of Netherite armor	Get a full suit of Netherite armor	review needed
advancements.nether.netherite_armor.title	Cover Me in Debris	Cover Me in Debris	review needed
advancements.nether.obtain_ancient_debris.description	Obtain Ancient Debris	Obtain Ancient Debris	review needed
advancements.nether.obtain_ancient_debris.title	Hidden in the Depths	Hidden in the Depths	review needed
advancements.nether.obtain_blaze_rod.description	Relieve a Blaze of its rod	Relieve a Blaze of its rod	review needed
advancements.nether.obtain_blaze_rod.title	Into Fire	Into Fire	review needed
advancements.nether.obtain_crying_obsidian.description	Obtain Crying Obsidian	Obtain Crying Obsidian	review needed
advancements.nether.obtain_crying_obsidian.title	Who is Cutting Onions?	Who is Cutting Onions?	review needed
advancements.nether.return_to_sender.description	Destroy a Ghast with a fireball	Destroy a Ghast with a fireball	review needed
advancements.nether.return_to_sender.title	Return to Sender	Return to Sender	review needed
advancements.nether.ride_strider.description	Ride a Strider with a Warped Fungus on a Stick	Ride a Strider with a Warped Fungus on a Stick	review needed
advancements.nether.ride_strider.title	This Boat Has Legs	This Boat Has Legs	review needed
advancements.nether.ride_strider_in_overworld_lava.description	Take a Strider for a loooong ride on a lava lake in the Overworld	Take a Strider for a loooong ride on a lava lake in the Overworld	review needed
advancements.nether.ride_strider_in_overworld_lava.title	Feels Like Home	Feels Like Home	review needed
advancements.nether.root.description	Bring summer clothes	Bring summer clothes	review needed
advancements.nether.root.title	Nether	Nether	review needed
advancements.nether.summon_wither.description	Summon the Wither	Summon the Wither	review needed
advancements.nether.summon_wither.title	Withering Heights	Withering Heights	review needed
advancements.nether.uneasy_alliance.description	Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it	Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it	review needed
advancements.nether.uneasy_alliance.title	Uneasy Alliance	Uneasy Alliance	review needed
advancements.nether.use_lodestone.description	Use a Compass on a Lodestone	Use a Compass on a Lodestone	review needed
advancements.nether.use_lodestone.title	Country Lode, Take Me Home	Country Lode, Take Me Home	review needed
advancements.progress	advancements.progress	advancements.progress	review needed
advancements.sad_label	:(	:(	review needed
advancements.story.cure_zombie_villager.description	Weaken and then cure a Zombie Villager	Weaken and then cure a Zombie Villager	review needed
advancements.story.cure_zombie_villager.title	Zombie Doctor	Zombie Doctor	review needed
advancements.story.deflect_arrow.description	Deflect a projectile with a Shield	Deflect a projectile with a Shield	review needed
advancements.story.deflect_arrow.title	Not Today, Thank You	Not Today, Thank You	review needed
advancements.story.enchant_item.description	Enchant an item at an Enchanting Table	Enchant an item at an Enchanting Table	review needed
advancements.story.enchant_item.title	Enchanter	Enchanter	review needed
advancements.story.enter_the_end.description	Enter the End Portal	Enter the End Portal	review needed
advancements.story.enter_the_end.title	The End?	The End?	review needed
advancements.story.enter_the_nether.description	Build, light and enter a Nether Portal	Build, light and enter a Nether Portal	review needed
advancements.story.enter_the_nether.title	We Need to Go Deeper	We Need to Go Deeper	review needed
advancements.story.follow_ender_eye.description	Follow an Eye of Ender	Follow an Eye of Ender	review needed
advancements.story.follow_ender_eye.title	Eye Spy	Eye Spy	review needed
advancements.story.form_obsidian.description	Obtain a block of Obsidian	Obtain a block of Obsidian	review needed
advancements.story.form_obsidian.title	Ice Bucket Challenge	Ice Bucket Challenge	review needed
advancements.story.iron_tools.description	Upgrade your Pickaxe	Upgrade your Pickaxe	review needed
advancements.story.iron_tools.title	Isn't It Iron Pick	Isn't It Iron Pick	review needed
advancements.story.lava_bucket.description	Fill a Bucket with lava	Fill a Bucket with lava	review needed
advancements.story.lava_bucket.title	Hot Stuff	Hot Stuff	review needed
advancements.story.mine_diamond.description	Acquire diamonds	Acquire diamonds	review needed
advancements.story.mine_diamond.title	Diamonds!	Diamonds!	review needed
advancements.story.mine_stone.description	Mine Stone with your new Pickaxe	Mine Stone with your new Pickaxe	review needed
advancements.story.mine_stone.title	Stone Age	Stone Age	review needed
advancements.story.obtain_armor.description	Protect yourself with a piece of iron armor	Protect yourself with a piece of iron armor	review needed
advancements.story.obtain_armor.title	Suit Up	Suit Up	review needed
advancements.story.root.description	The heart and story of the game	The heart and story of the game	review needed
advancements.story.root.title	Minecraft	Minecraft	review needed
advancements.story.shiny_gear.description	Diamond armor saves lives	Diamond armor saves lives	review needed
advancements.story.shiny_gear.title	Cover Me with Diamonds	Cover Me with Diamonds	review needed
advancements.story.smelt_iron.description	Smelt an Iron Ingot	Smelt an Iron Ingot	review needed
advancements.story.smelt_iron.title	Acquire Hardware	Acquire Hardware	review needed
advancements.story.upgrade_tools.description	Construct a better Pickaxe	Construct a better Pickaxe	review needed
advancements.story.upgrade_tools.title	Getting an Upgrade	Getting an Upgrade	review needed
advancements.toast.challenge	Challenge Complete!	Challenge Complete!	review needed
advancements.toast.goal	Goal Reached!	Goal Reached!	review needed
advancements.toast.task	Advancement Made!	Advancement Made!	review needed
argument.anchor.invalid	Invalid entity anchor position %s	Invalid entity anchor position %s	review needed
argument.angle.incomplete	Incomplete (expected 1 angle)	Incomplete (expected 1 angle)	review needed
argument.angle.invalid	Invalid angle	Invalid angle	review needed
argument.block.id.invalid	Unknown block type '%s'	Unknown block type '%s'	review needed
argument.block.property.duplicate	Property '%s' can only be set once for block %s	Property '%s' can only be set once for block %s	review needed
argument.block.property.invalid	Block %s does not accept '%s' for %s property	Block %s does not accept '%s' for %s property	review needed
argument.block.property.novalue	Expected value for property '%s' on block %s	Expected value for property '%s' on block %s	review needed
argument.block.property.unclosed	Expected closing ] for block state properties	Expected closing ] for block state properties	review needed
argument.block.property.unknown	Block %s does not have property '%s'	Block %s does not have property '%s'	review needed
argument.block.tag.disallowed	Tags aren't allowed here, only actual blocks	Tags aren't allowed here, only actual blocks	review needed
argument.color.invalid	Unknown color '%s'	Unknown color '%s'	review needed
argument.component.invalid	Invalid chat component: %s	Invalid chat component: %s	review needed
