key	en_us	ang	note
command.quoteFavorite.help.bookToc	&7toc opens only the table of contents	&7toc opens only the table of contents	review needed
command.quoteFavorite.help.latest	&7/quoteFavorite latest : save the latest quote to Favorites	&7/quoteFavorite latest : save the latest quote to Favorites	review needed
command.quoteFavorite.help.list	&7/quoteFavorite list : show Favorites	&7/quoteFavorite list : show Favorites	review needed
command.quoteFavorite.help.remove	&7/quoteFavorite remove <id> : remove a favorite	&7/quoteFavorite remove <id> : remove a favorite	review needed
command.quoteFavorite.help.reread	&7/quoteFavorite reread [chat|title|book] : reread a quote	&7/quoteFavorite reread [chat|title|book] : reread a quote	review needed
command.quoteFavorite.help.rereadBook	&7book rereads using a written book	&7book rereads using a written book	review needed
command.quoteFavorite.help.rereadTitle	&7title rereads using the title display	&7title rereads using the title display	review needed
command.quoteFavorite.help.title	&bQuote Favorite commands	&bQuote Favorite commands	review needed
command.quoteFavorite.latestNotSaved	The latest quote could not be saved. There may be no log yet, or it may already be in Favorites.	The latest quote could not be saved. There may be no log yet, or it may already be in Favorites.	review needed
command.quoteFavorite.latestSaved	The latest quote was saved to Favorites.	The latest quote was saved to Favorites.	review needed
command.quoteFavorite.listHeader	&bFavorites ({count})	&bFavorites ({count})	review needed
command.quoteFavorite.listSeparator	&7------------------------------	&7------------------------------	review needed
command.quoteFavorite.openBookFailed	&cFailed to open the book.	&cFailed to open the book.	review needed
command.quoteFavorite.playersOnly	&cThis command can only be used by players.	&cThis command can only be used by players.	review needed
command.quoteFavorite.removeIdNumber	&cThe ID must be a number.	&cThe ID must be a number.	review needed
command.quoteFavorite.removeNotFound	&cThat favorite could not be found.	&cThat favorite could not be found.	review needed
command.quoteFavorite.removeSuccess	&aRemoved favorite ID {id}.	&aRemoved favorite ID {id}.	review needed
command.quoteFavorite.removeUsage	&cUsage: /quoteFavorite remove <id>	&cUsage: /quoteFavorite remove <id>	review needed
command.quoteFavorite.repositoryNotReady	Favorites are not available yet.	Favorites are not available yet.	review needed
command.quoteFavorite.rereadNoQuotes	&eThere are no quotes to reread yet.	&eThere are no quotes to reread yet.	review needed
command.quoteFavorite.shortcutNotSaved	The latest quote could not be saved. There may be no log yet, or it may already be in Favorites.	The latest quote could not be saved. There may be no log yet, or it may already be in Favorites.	review needed
command.quoteFavorite.shortcutSaved	The latest quote was saved to Favorites.	The latest quote was saved to Favorites.	review needed
command.quoteFavorite.unknownSubcommand	&cUnknown subcommand. See /quoteFavorite help.	&cUnknown subcommand. See /quoteFavorite help.	review needed
command.reload.fail	&cReload failed: {reason}	&cReload failed: {reason}	review needed
command.stageCleanup.cleaned	[TreasureRun] Cleaned up {count} difficulty blocks.	[TreasureRun] Cleaned up {count} difficulty blocks.	review needed
command.stageCleanup.managerNotReady	[TreasureRun] The stage manager is not initialized.	[TreasureRun] The stage manager is not initialized.	review needed
command.stageCleanup.playersOnly	&cOnly players can use this command.	&cOnly players can use this command.	review needed
commands.mysql_repository_not_ready_72df0af1_119	MySQL / Repository not ready.	MySQL / Repository not ready.	review needed
commands.mysql_repository_not_ready_72df0af1_93	MySQL / Repository not ready.	MySQL / Repository not ready.	review needed
commands.quotefavorite_book_open_cata_055de855	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)	review needed
commands.quotefavorite_book_other_ope_bdcbafba	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter	review needed
commands.quotefavorite_book_success_o_afe31501	/quoteFavorite book success    - open SUCCESS chapter	/quoteFavorite book success    - open SUCCESS chapter	review needed
commands.quotefavorite_book_timeup_op_08b799b0	/quoteFavorite book timeup     - open TIME_UP chapter	/quoteFavorite book timeup     - open TIME_UP chapter	review needed
commands.quotefavorite_book_toc_open__c7d02ede	/quoteFavorite book toc        - open catalog (TOC only)	/quoteFavorite book toc        - open catalog (TOC only)	review needed
commands.rank_1_2_3_demo_4f3e3084	数字で入力してください: /rank <1|2|3|demo>	数字で入力してください: /rank <1|2|3|demo>	review needed
commands.rank_1_2_3_demo_d87f40da	使い方: /rank <1|2|3|demo>	使い方: /rank <1|2|3|demo>	review needed
commands.text_2bf42ec8_18	このコマンドはプレイヤーのみが実行できます。	このコマンドはプレイヤーのみが実行できます。	review needed
common.False	&cNo	&cNo	review needed
common.True	&aYes	&aYes	review needed
common.error	&cError: {reason}	&cError: {reason}	review needed
debug			review needed
default.prefix	&b[&6TreasureRun&b]&r 	&b[&6TreasureRun&b]&r 	review needed
default.unknown	&c(Translation missing: {key})	&c(Translation missing: {key})	review needed
favorites.auto.quotefavoritestore_addfavori_44fb1d75	[QuoteFavoriteStore] addFavorite failed:	[QuoteFavoriteStore] addFavorite failed:	review needed
favorites.auto.quotefavoritestore_countfavo_69291680	[QuoteFavoriteStore] countFavorites failed:	[QuoteFavoriteStore] countFavorites failed:	review needed
favorites.auto.quotefavoritestore_exists_fa_7d08adba	[QuoteFavoriteStore] exists failed:	[QuoteFavoriteStore] exists failed:	review needed
favorites.auto.quotefavoritestore_listfavor_f3e976d4	[QuoteFavoriteStore] listFavorites failed:	[QuoteFavoriteStore] listFavorites failed:	review needed
favorites.auto.quotefavoritestore_reloaded__3ba623a3	[QuoteFavoriteStore] Reloaded DB: host=	[QuoteFavoriteStore] Reloaded DB: host=	review needed
favorites.auto.quotefavoritestore_removefav_8180a1e4	[QuoteFavoriteStore] removeFavorite failed:	[QuoteFavoriteStore] removeFavorite failed:	review needed
favorites.auto.quotefavoritestore_removefav_d024b1e5	[QuoteFavoriteStore] removeFavoriteById failed:	[QuoteFavoriteStore] removeFavoriteById failed:	review needed
favorites.chapter.back	Back to contents	Back to contents	review needed
favorites.chapter.count	{count} entries	{count} entries	review needed
favorites.chapter.empty	No saved lines in this chapter yet	No saved lines in this chapter yet	review needed
favorites.chapter.otherSub	Other	Other	review needed
favorites.chapter.rereadBook	Reread book	Reread book	review needed
favorites.chapter.successSub	Saved lines from successful runs	Saved lines from successful runs	review needed
favorites.chapter.successTitle	Success	Success	review needed
favorites.chapter.successTpl1	Saved success lines	Saved success lines	review needed
favorites.chapter.successTpl2	Moments when you cleared the run	Moments when you cleared the run	review needed
favorites.chapter.timeupSub	Saved lines from time-up moments	Saved lines from time-up moments	review needed
favorites.chapter.timeupTitle	Time Up	Time Up	review needed
favorites.chapter.timeupTpl1	Saved time-up lines	Saved time-up lines	review needed
favorites.chapter.timeupTpl2	Moments when the timer ran out	Moments when the timer ran out	review needed
favorites.cover.badge	TreasureRun Favorites	TreasureRun Favorites	review needed
favorites.cover.countLabel	Saved: {count}	Saved: {count}	review needed
favorites.cover.head	Favorites Archive	Favorites Archive	review needed
favorites.cover.hint	Use /quoteFavorite latest or /quoteFavorite list	Use /quoteFavorite latest or /quoteFavorite list	review needed
favorites.cover.openToc	Open contents	Open contents	review needed
favorites.cover.reread	Reread	Reread	review needed
favorites.cover.sub	A collection of lines you saved during your runs	A collection of lines you saved during your runs	review needed
favorites.empty.head	No favorites yet	No favorites yet	review needed
favorites.empty.noFav	No favorites saved yet.	No favorites saved yet.	review needed
favorites.empty.noFavSub	Save a line first to start your archive	Save a line first to start your archive	review needed
favorites.empty.reread	No quote to reread yet.	No quote to reread yet.	review needed
favorites.empty.rereadBook	No reread book available yet.	No reread book available yet.	review needed
favorites.empty.saveHow	How to save favorites	How to save favorites	review needed
favorites.empty.saveHow1	Use /quoteFavorite latest	Use /quoteFavorite latest	review needed
favorites.empty.saveHow2	Or sneak and right-click the rule book	Or sneak and right-click the rule book	review needed
favorites.empty.saveLatest	Save the latest line	Save the latest line	review needed
favorites.empty.sub	Your archive is still empty	Your archive is still empty	review needed
favorites.empty.tryNow	Then open this book again	Then open this book again	review needed
favorites.remove	Remove	Remove	review needed
favorites.reread.head	Saved lines reread	Saved lines reread	review needed
favorites.reread.noQuotes	No saved lines yet.	No saved lines yet.	review needed
favorites.table	favorites.table	favorites.table	review needed
favorites.toc.clickable	Chapters can be opened by clicking	Chapters can be opened by clicking	review needed
favorites.toc.head	Contents	Contents	review needed
favorites.toc.howto	Open a chapter to reread saved lines	Open a chapter to reread saved lines	review needed
favorites.toc.howtoShift	&7Sneak + right-click to open the Favorites archive	&7Sneak + right-click to open the Favorites archive	review needed
favorites.toc.manage	Manage saved lines	Manage saved lines	review needed
favorites.toc.reread	Reread	Reread	review needed
favorites.toc.rereadTitle	Reread	Reread	review needed
favorites.toc.sub	Browse by chapter	Browse by chapter	review needed
finalAudit.command.dbConnected	MySQL is connected.	MySQL is connected.	review needed
finalAudit.command.dbNotConnected	MySQL is not connected.	MySQL is not connected.	review needed
finalAudit.command.exportComplete	✅ Export complete: wrote {count} file(s).	✅ Export complete: wrote {count} file(s).	review needed
finalAudit.command.exportCreateFolderFailed	❌ Could not create the languages/ folder: {path}	❌ Could not create the languages/ folder: {path}	review needed
finalAudit.command.exportExample	Example: messages.translation.ja.favorites.title: ...	Example: messages.translation.ja.favorites.title: ...	review needed
finalAudit.command.exportFailed	❌ Export failed: {lang} ({error})	❌ Export failed: {lang} ({error})	review needed
finalAudit.command.exportMissingRoot	❌ messages.translation was not found in config.yml.	❌ messages.translation was not found in config.yml.	review needed
finalAudit.command.exportNextStep	Next: make I18n read languages/*.yml to apply these translations.	Next: make I18n read languages/*.yml to apply these translations.	review needed
finalAudit.command.exportNoLanguages	❌ No languages are configured for export.	❌ No languages are configured for export.	review needed
finalAudit.command.exportOutputFolder	Output folder: {path}	Output folder: {path}	review needed
finalAudit.command.exportOverwriteHint	To overwrite existing files, run: /treasureExportLang overwrite	To overwrite existing files, run: /treasureExportLang overwrite	review needed
finalAudit.command.exportSkippedExisting	⚠ Skipped existing file(s): {langs}	⚠ Skipped existing file(s): {langs}	review needed
finalAudit.command.gameAlreadyRunning	The game is already running.	The game is already running.	review needed
finalAudit.command.guiReloadedReopen	The GUI has been refreshed. Please run /gameStart again to reopen it.	The GUI has been refreshed. Please run /gameStart again to reopen it.	review needed
finalAudit.command.invalidDifficulty	Please choose Easy, Normal, or Hard.	Please choose Easy, Normal, or Hard.	review needed
finalAudit.command.languageGuiNotReady	The language selection GUI is not ready yet.	The language selection GUI is not ready yet.	review needed
finalAudit.command.noPermission	You do not have permission to use this command.	You do not have permission to use this command.	review needed
finalAudit.command.noPermissionOp	You do not have permission to use this command. Operator permission is required.	You do not have permission to use this command. Operator permission is required.	review needed
finalAudit.command.opOnly	Operator permission is required for this command.	Operator permission is required for this command.	review needed
finalAudit.command.playerOnly	Only players can run this command.	Only players can run this command.	review needed
finalAudit.command.playerOnlyConsoleNoOnline	Only players can run this command, and no online player was found.	Only players can run this command, and no online player was found.	review needed
finalAudit.command.rankDebugOff	Rank debug is disabled. Set rankDebug.enabled to true in config.yml.	Rank debug is disabled. Set rankDebug.enabled to true in config.yml.	review needed
finalAudit.command.rankNumberOnly	Please enter a number: /rank <1|2|3|demo>	Please enter a number: /rank <1|2|3|demo>	review needed
finalAudit.command.rankOnlyOneToThree	Please choose 1, 2, or 3: /rank <1|2|3>	Please choose 1, 2, or 3: /rank <1|2|3>	review needed
finalAudit.command.rankUsage	Usage: /rank <1|2|3|demo>	Usage: /rank <1|2|3|demo>	review needed
finalAudit.command.reloadBlockedRunning	Reload is disabled while the game is running. Please run /gameEnd first.	Reload is disabled while the game is running. Please run /gameEnd first.	review needed
finalAudit.command.treasureReloadDone	✅ TreasureRun settings have been reloaded, including the language GUI.	✅ TreasureRun settings have been reloaded, including the language GUI.	review needed
finalAudit.debug.chestSoundNearest	[ChestSound] nearest={distance}m inRange={range} t={t}	[ChestSound] nearest={distance}m inRange={range} t={t}	review needed
finalAudit.debug.chestSoundNoChests	[ChestSound] No chests found.	[ChestSound] No chests found.	review needed
finalAudit.debug.chestSoundStart	[ChestSound] Started in 16-grid mode.	[ChestSound] Started in 16-grid mode.	review needed
finalAudit.item.specialApple	Special Apple	Special Apple	review needed
finalAudit.item.specialIronBlock	Special Iron Block	Special Iron Block	review needed
finalAudit.reward.label	Reward	Reward	review needed
finalAudit.reward.rainbowWolf	Rainbow Wolf	Rainbow Wolf	review needed
finalAudit.shop.treasureShop	Treasure Shop	Treasure Shop	review needed
game.auto.treasure_shop_2574a694_822	treasure shop	treasure shop	review needed
game.difficulty.easy	&aEasy	&aEasy	review needed
game.difficulty.hard	&cHard	&cHard	review needed
game.difficulty.normal	&eNormal	&eNormal	review needed
game.gameEndFail	"[""&cTime's up!"", '&7Final Score: &f{score}']"	"[""&cTime's up!"", '&7Final Score: &f{score}']"	review needed
game.gameEndSuccess	['&aAll treasure collected!', '&7Final Score: &f{score}']	['&aAll treasure collected!', '&7Final Score: &f{score}']	review needed
game.gameStart	['&6========== &eTreasureRun &6==========', '&7Difficulty: &f{difficulty}', '&7Time Limit: &f{timeLimit}s', '&7Total Chests: &f{totalChests}', '&7Treasure Chests: &f{treasureChests}', '&7Other Chests: &f{otherChests}', '&7Multiplier: &f{xMultiplier}', '&7Penalty: &f{penalty}', '&aGood luck, {player}!']	['&6========== &eTreasureRun &6==========', '&7Difficulty: &f{difficulty}', '&7Time Limit: &f{timeLimit}s', '&7Total Chests: &f{totalChests}', '&7Treasure Chests: &f{treasureChests}', '&7Other Chests: &f{otherChests}', '&7Multiplier: &f{xMultiplier}', '&7Penalty: &f{penalty}', '&aGood luck, {player}!']	review needed
game.gameStartTitle.subtitle	&7Find chests before time runs out!	&7Find chests before time runs out!	review needed
game.gameStartTitle.title	&eTreasureRun	&eTreasureRun	review needed
game.rank.header	&6=== Ranking ===	&6=== Ranking ===	review needed
game.rank.line	&e#{rank} &f{player} &7- &b{score}	&e#{rank} &f{player} &7- &b{score}	review needed
game.timeWarning	['&eTime left: &f{seconds}s']	['&eTime left: &f{seconds}s']	review needed
gameplay.death.explosion	{player} was caught in an explosion.	{player} was caught in an explosion.	review needed
gameplay.death.firework	{player} was caught in a firework blast.	{player} was caught in a firework blast.	review needed
gameplay.death.generic	{player} fell.	{player} fell.	review needed
gameplay.pickup.gameEndTotalScore	Game over! Total score: {score}	Game over! Total score: {score}	review needed
gameplay.pickup.remainingChests	Chests remaining: {count}	Chests remaining: {count}	review needed
gameplay.pickup.scoreAdded	Score +{add} points (Total: {total})	Score +{add} points (Total: {total})	review needed
gameplay.pickup.scoreNone	No score yet.	No score yet.	review needed
gameplay.pickup.treasureFound	Treasure: {name} ×{amount}	Treasure: {name} ×{amount}	review needed
gameplay.result.allChestsOpenedBroadcast	{player} opened all chests! Final score: {score}	{player} opened all chests! Final score: {score}	review needed
gameplay.result.gotLine	Collected: {got}/{total}	Collected: {got}/{total}	review needed
gameplay.result.overcomingAdversity	OVERCOMING ADVERSITY	OVERCOMING ADVERSITY	review needed
gameplay.result.rank	Rank	Rank	review needed
gameplay.result.runCompleteTitle	Run Complete!	Run Complete!	review needed
gameplay.result.summaryLine	Time: {time}  Score: {score}  Rank: {rank}	Time: {time}  Score: {score}  Rank: {rank}	review needed
gameplay.result.time	Time	Time	review needed
gameplay.result.timeUpTitle	TIME'S UP!	TIME'S UP!	review needed
gameplay.result.treasuresCollected	Treasures collected: {got}/{total} ({missing} left)	Treasures collected: {got}/{total} ({missing} left)	review needed
gameplay.setup.chestsPlaced	Placed {count} chests!	Placed {count} chests!	review needed
gameplay.shop.hiddenPowerAwakens	A hidden power awakens…	A hidden power awakens…	review needed
gameplay.shop.hiddenPowerChat	You sense a hidden power within the Treasure Shop…	You sense a hidden power within the Treasure Shop…	review needed
gameplay.shop.tradeCompleteTitle	Trade complete!	Trade complete!	review needed
gameplay.start.go	Go!	Go!	review needed
gameplay.start.startingIn	Starting in…	Starting in…	review needed
gameplay.success.allChestsOpened	All chests opened! Game over!	All chests opened! Game over!	review needed
gameplay.success.allTreasuresFoundChat	Congratulations! You found all treasures!	Congratulations! You found all treasures!	review needed
gameplay.success.allTreasuresFoundTitle	All treasures found!	All treasures found!	review needed
gameplay.success.treasureCompleteTitle	🎵 Treasure Complete! 🎵	🎵 Treasure Complete! 🎵	review needed
gameplay.system.advancement	{player} made progress: {advancement}	{player} made progress: {advancement}	review needed
gameplay.system.join	{player} entered TreasureRun.	{player} entered TreasureRun.	review needed
gameplay.system.kick	{player} was removed from TreasureRun. Reason: {reason}	{player} was removed from TreasureRun. Reason: {reason}	review needed
gameplay.system.noPermission	You do not have permission to use {command}.	You do not have permission to use {command}.	review needed
gameplay.system.quit	{player} left TreasureRun.	{player} left TreasureRun.	review needed
gameplay.system.serverMotd	{server} — multilingual treasure hunt.	{server} — multilingual treasure hunt.	review needed
gameplay.system.unknownCommand	Unknown command: {command}	Unknown command: {command}	review needed
gameplay.timer.remainingBossbar	Remaining Time	Remaining Time	review needed
gameplay.timer.remainingLine	Remaining time: {seconds}s	Remaining time: {seconds}s	review needed
gui.language.loreDefault	['&7Click to select', '&8Your selection is saved']	['&7Click to select', '&8Your selection is saved']	review needed
gui.language.reopenHint	&7You can change anytime with &f/lang	&7You can change anytime with &f/lang	review needed
gui.language.saved	&aSaved your language: &f{lang}	&aSaved your language: &f{lang}	review needed
gui.language.selected	&aSelected: &f{lang}	&aSelected: &f{lang}	review needed
gui.language.subtitle	&7Select your language	&7Select your language	review needed
gui.language.title	Language	Language	review needed
items.material.apple	Apple	Apple	review needed
items.material.coal	Coal	Coal	review needed
items.material.diamond	Diamond	Diamond	review needed
items.material.diamond_block	Diamond Block	Diamond Block	review needed
items.material.emerald	Emerald	Emerald	review needed
items.material.emerald_block	Emerald Block	Emerald Block	review needed
items.material.enchanted_golden_apple	Enchanted Golden Apple	Enchanted Golden Apple	review needed
items.material.gold_block	Gold Block	Gold Block	review needed
items.material.gold_ingot	Gold Ingot	Gold Ingot	review needed
items.material.iron_block	Iron Block	Iron Block	review needed
items.material.iron_ingot	Iron Ingot	Iron Ingot	review needed
items.material.lapis_lazuli	Lapis Lazuli	Lapis Lazuli	review needed
items.material.netherite_ingot	Netherite Ingot	Netherite Ingot	review needed
items.material.redstone	Redstone	Redstone	review needed
items.material.tnt	TNT	TNT	review needed
items.specialEmerald.displayName	&6Special Emerald	&6Special Emerald	review needed
items.specialEmerald.loreCrafted	&7Crafted in TreasureRun	&7Crafted in TreasureRun	review needed
items.specialEmerald.loreSpecial	&7A special emerald	&7A special emerald	review needed
minecraft.packet.advancement.advancementNotFound	Unknown advancement: %s	Unknown advancement: %s	review needed
minecraft.packet.advancements.adventure.adventuring_time.description	Discover every biome	Discover every biome	review needed
minecraft.packet.advancements.adventure.adventuring_time.title	Adventuring Time	Adventuring Time	review needed
minecraft.packet.advancements.adventure.arbalistic.description	Kill five unique mobs with one crossbow shot	Kill five unique mobs with one crossbow shot	review needed
minecraft.packet.advancements.adventure.arbalistic.title	Arbalistic	Arbalistic	review needed
minecraft.packet.advancements.adventure.avoid_vibration.description	Sneak near a Sculk Sensor or Warden to prevent it from detecting you	Sneak near a Sculk Sensor or Warden to prevent it from detecting you	review needed
minecraft.packet.advancements.adventure.avoid_vibration.title	Sneak 100	Sneak 100	review needed
minecraft.packet.advancements.adventure.bullseye.description	Hit the bullseye of a Target block from at least 30 meters away	Hit the bullseye of a Target block from at least 30 meters away	review needed
minecraft.packet.advancements.adventure.bullseye.title	Bullseye	Bullseye	review needed
minecraft.packet.advancements.adventure.craft_decorated_pot_using_only_sherds.description	Make a Decorated Pot out of 4 Pottery Sherds	Make a Decorated Pot out of 4 Pottery Sherds	review needed
minecraft.packet.advancements.adventure.craft_decorated_pot_using_only_sherds.title	Careful Restoration	Careful Restoration	review needed
minecraft.packet.advancements.adventure.fall_from_world_height.description	Free fall from the top of the world (build limit) to the bottom of the world and survive	Free fall from the top of the world (build limit) to the bottom of the world and survive	review needed
minecraft.packet.advancements.adventure.fall_from_world_height.title	Caves & Cliffs	Caves & Cliffs	review needed
minecraft.packet.advancements.adventure.hero_of_the_village.description	Successfully defend a village from a raid	Successfully defend a village from a raid	review needed
minecraft.packet.advancements.adventure.hero_of_the_village.title	Hero of the Village	Hero of the Village	review needed
minecraft.packet.advancements.adventure.honey_block_slide.description	Jump into a Honey Block to break your fall	Jump into a Honey Block to break your fall	review needed
minecraft.packet.advancements.adventure.honey_block_slide.title	Sticky Situation	Sticky Situation	review needed
minecraft.packet.advancements.adventure.kill_a_mob.description	Kill any hostile monster	Kill any hostile monster	review needed
minecraft.packet.advancements.adventure.kill_a_mob.title	Monster Hunter	Monster Hunter	review needed
minecraft.packet.advancements.adventure.kill_all_mobs.description	Kill one of every hostile monster	Kill one of every hostile monster	review needed
minecraft.packet.advancements.adventure.kill_all_mobs.title	Monsters Hunted	Monsters Hunted	review needed
minecraft.packet.advancements.adventure.kill_mob_near_sculk_catalyst.description	Kill a mob near a Sculk Catalyst	Kill a mob near a Sculk Catalyst	review needed
minecraft.packet.advancements.adventure.kill_mob_near_sculk_catalyst.title	It Spreads	It Spreads	review needed
minecraft.packet.advancements.adventure.lightning_rod_with_villager_no_fire.description	Protect a Villager from an undesired shock without starting a fire	Protect a Villager from an undesired shock without starting a fire	review needed
minecraft.packet.advancements.adventure.lightning_rod_with_villager_no_fire.title	Surge Protector	Surge Protector	review needed
minecraft.packet.advancements.adventure.ol_betsy.description	Shoot a Crossbow	Shoot a Crossbow	review needed
minecraft.packet.advancements.adventure.ol_betsy.title	Ol' Betsy	Ol' Betsy	review needed
minecraft.packet.advancements.adventure.play_jukebox_in_meadows.description	Make the Meadows come alive with the sound of music from a Jukebox	Make the Meadows come alive with the sound of music from a Jukebox	review needed
minecraft.packet.advancements.adventure.play_jukebox_in_meadows.title	Sound of Music	Sound of Music	review needed
minecraft.packet.advancements.adventure.read_power_from_chiseled_bookshelf.description	Read the power signal of a Chiseled Bookshelf using a Comparator	Read the power signal of a Chiseled Bookshelf using a Comparator	review needed
minecraft.packet.advancements.adventure.read_power_from_chiseled_bookshelf.title	The Power of Books	The Power of Books	review needed
minecraft.packet.advancements.adventure.root.description	Adventure, exploration and combat	Adventure, exploration and combat	review needed
minecraft.packet.advancements.adventure.root.title	Adventure	Adventure	review needed
minecraft.packet.advancements.adventure.salvage_sherd.description	Brush a Suspicious block to obtain a Pottery Sherd	Brush a Suspicious block to obtain a Pottery Sherd	review needed
minecraft.packet.advancements.adventure.salvage_sherd.title	Respecting the Remnants	Respecting the Remnants	review needed
minecraft.packet.advancements.adventure.shoot_arrow.description	Shoot something with an Arrow	Shoot something with an Arrow	review needed
minecraft.packet.advancements.adventure.shoot_arrow.title	Take Aim	Take Aim	review needed
minecraft.packet.advancements.adventure.sleep_in_bed.description	Sleep in a Bed to change your respawn point	Sleep in a Bed to change your respawn point	review needed
minecraft.packet.advancements.adventure.sleep_in_bed.title	Sweet Dreams	Sweet Dreams	review needed
minecraft.packet.advancements.adventure.sniper_duel.description	Kill a Skeleton from at least 50 meters away	Kill a Skeleton from at least 50 meters away	review needed
minecraft.packet.advancements.adventure.sniper_duel.title	Sniper Duel	Sniper Duel	review needed
minecraft.packet.advancements.adventure.spyglass_at_dragon.description	Look at the Ender Dragon through a Spyglass	Look at the Ender Dragon through a Spyglass	review needed
minecraft.packet.advancements.adventure.spyglass_at_dragon.title	Is It a Plane?	Is It a Plane?	review needed
minecraft.packet.advancements.adventure.spyglass_at_ghast.description	Look at a Ghast through a Spyglass	Look at a Ghast through a Spyglass	review needed
minecraft.packet.advancements.adventure.spyglass_at_ghast.title	Is It a Balloon?	Is It a Balloon?	review needed
minecraft.packet.advancements.adventure.spyglass_at_parrot.description	Look at a Parrot through a Spyglass	Look at a Parrot through a Spyglass	review needed
minecraft.packet.advancements.adventure.spyglass_at_parrot.title	Is It a Bird?	Is It a Bird?	review needed
minecraft.packet.advancements.adventure.summon_iron_golem.description	Summon an Iron Golem to help defend a village	Summon an Iron Golem to help defend a village	review needed
minecraft.packet.advancements.adventure.summon_iron_golem.title	Hired Help	Hired Help	review needed
minecraft.packet.advancements.adventure.throw_trident.description	"Throw a Trident at something.
Note: Throwing away your only weapon is not a good idea."	"Throw a Trident at something.
Note: Throwing away your only weapon is not a good idea."	review needed
minecraft.packet.advancements.adventure.throw_trident.title	A Throwaway Joke	A Throwaway Joke	review needed
minecraft.packet.advancements.adventure.totem_of_undying.description	Use a Totem of Undying to cheat death	Use a Totem of Undying to cheat death	review needed
minecraft.packet.advancements.adventure.totem_of_undying.title	Postmortal	Postmortal	review needed
minecraft.packet.advancements.adventure.trade.description	Successfully trade with a Villager	Successfully trade with a Villager	review needed
minecraft.packet.advancements.adventure.trade.title	What a Deal!	What a Deal!	review needed
minecraft.packet.advancements.adventure.trade_at_world_height.description	Trade with a Villager at the build height limit	Trade with a Villager at the build height limit	review needed
minecraft.packet.advancements.adventure.trade_at_world_height.title	Star Trader	Star Trader	review needed
minecraft.packet.advancements.adventure.trim_with_all_exclusive_armor_patterns.description	Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder	Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder	review needed
