global_no	section	difficulty	local_no	text
34	success	normal	17	Die Schritte endeten,\nund nur der Ort blieb.
35	success	normal	18	Das Licht fiel gleichmäßig,\nund jeder Schatten verschwand.
36	success	normal	19	Der Wind verstummte,\nund alles kehrte an seinen angestammten Platz zurück.
37	success	normal	20	Ein Augenblick der Stille.\nDie Welt fand zu ihrem Atem zurück.
38	success	normal	21	Die Spur ist tief in den Sand gezeichnet —\naußer Reichweite des Windes.
39	success	normal	22	Die Harmonie kehrte zurück.\nAlles lief auf diesen Moment hinaus.
40	success	normal	23	LAUF BEENDET.\nGeschafft. Gefunden.\nDas genügt.
41	success	normal	24	Der Himmel trug dein Schweigen,\nund der Weg trug dich weiter.
42	success	normal	25	Du bist hindurchgegangen,\nohne dem Zerbrechlichen nachzugeben.
43	success	normal	26	Was flüchtig war, wurde klar.\nWas fern war, rückte nah.
44	success	normal	27	Die Stille blieb,\nund in ihr hattest du Bestand.
45	success	normal	28	Der Blick blieb offen,\nauch als der Boden nachgab.
46	success	normal	29	Nichts war leicht.\nDoch du bist geblieben.
47	success	normal	30	Der Weg war schmal,\naber du hast ihn getragen.
48	success	normal	31	Die Welt wurde still,\nund du wurdest nicht kleiner.
49	success	normal	32	Die Spur führte weiter,\nweil du ihr gefolgt bist.
50	success	normal	33	Du hast das Schwanken durchschritten,\nohne den Halt zu verlieren.
51	success	normal	34	Am Ende blieb kein Lärm.\nNur Wahrheit.
52	success	normal	35	Du hast den Rand erreicht,\nohne den Mittelpunkt zu verlieren.
53	success	hard	1	In der Kälte blieb die Klarheit bestehen.
54	success	hard	2	Die Luft wurde hart,\ndoch dein Wille nicht.
55	success	hard	3	Der Weg war streng,\nund dennoch bist du weitergegangen.
56	success	hard	4	Nichts trug dich außer Entschlossenheit.\nDas genügte.
57	success	hard	5	Das Schweigen war tief,\naber du warst tiefer.
58	success	hard	6	Wo alles fror,\nblieb dein Kern in Bewegung.
59	success	hard	7	Der Blick wurde schärfer,\nje kälter die Welt wurde.
60	success	hard	8	Du hast den Frost durchschritten,\nohne innerlich zu erstarren.
61	success	hard	9	Die Härte der Welt\nnahm dir nicht die Richtung.
62	success	hard	10	Im stillen Blau der Kälte\nblieb dein Weg erkennbar.
63	success	hard	11	Die Luft schnitt scharf,\ndoch du bist nicht gewichen.
64	success	hard	12	Es war kein Trost da.\nUnd trotzdem warst du da.
65	success	hard	13	Die Welt wurde fern,\ndoch du bliebst gegenwärtig.
66	success	hard	14	Kein Leuchten hielt ewig.\nAber du hieltst durch.
67	success	hard	15	Der Weg verlangte alles.\nDu hast geantwortet.
68	success	hard	16	Unter kaltem Himmel\nblieb deine Entscheidung warm.
69	success	hard	17	Der Frost legte sich über alles,\nnicht aber über deinen Entschluss.
70	success	hard	18	Du bist dort weitergegangen,\nwo andere gezögert hätten.
71	success	hard	19	Die Stille der Kälte\nkonnte dich nicht verschließen.
72	success	hard	20	Du hast den bitteren Rand erreicht,\nohne daran zu zerbrechen.
73	success	hard	21	Die Schritte waren schwer,\naber sie blieben deine.
74	success	hard	22	Selbst im Erstarren der Welt\nblieb in dir Bewegung.
75	success	hard	23	Was hart war, blieb hart.\nDoch du bliebst standhaft.
76	success	hard	24	Die Kälte ordnete alles.\nUnd du hast darin bestanden.
77	success	hard	25	Der Horizont war leer,\naber dein Weg nicht.
78	success	hard	26	Es gab keinen Überschuss,\nnur Richtung.
79	success	hard	27	Du hast das Schwere getragen,\nohne daran stumpf zu werden.
80	success	hard	28	In der Ferne lag nichts Sicheres.\nUnd doch bist du gegangen.
81	success	hard	29	Der Himmel blieb kalt,\ndoch du bliebst klar.
82	success	hard	30	Wo alles spröde wurde,\nblieb dein Schritt verlässlich.
83	success	hard	31	Der Frost nahm die Wärme,\nnicht aber den Sinn.
84	success	hard	32	Du bist hindurchgekommen.\nNicht trotz der Härte — durch sie.
85	timeup	easy	1	Die Zeit lief ab.\nDoch der Weg ist noch nicht verschwunden.
86	timeup	easy	2	Zu spät für dieses Mal.\nNicht zu spät für den nächsten Schritt.
87	timeup	easy	3	Der Augenblick ist vorbei.\nDie Richtung bleibt.
88	timeup	easy	4	Die Uhr war schneller.\nDu kannst es wieder versuchen.
89	timeup	easy	5	Die Zeit hat dich eingeholt.\nDer Weg wartet trotzdem.
90	timeup	easy	6	Nicht diesmal.\nAber der Anfang ist noch da.
91	timeup	easy	7	Der Lauf endete hier.\nNicht deine Möglichkeit.
92	timeup	easy	8	Die Zeit wurde knapp,\nund dann war sie fort.
93	timeup	easy	9	Es hat nicht gereicht.\nDoch es war nicht umsonst.
94	timeup	easy	10	Die Schritte stoppten.\nDie Spur bleibt sichtbar.
95	timeup	easy	11	Der Weg schloss sich.\nNoch nicht für immer.
96	timeup	easy	12	Zu langsam für diesen Durchgang.\nNicht zu langsam, um weiterzulernen.
97	timeup	easy	13	Die Zeit ist vorbei.\nDer Versuch zählt trotzdem.
98	timeup	easy	14	Diesmal endete es früher.\nBeim nächsten Mal vielleicht nicht.
99	timeup	easy	15	Nicht jeder Anlauf trägt bis ans Ziel.\nDieser hier trug dich immerhin weiter.
100	timeup	easy	16	Die Zeit war unerbittlich.\nDu kannst es erneut aufnehmen.
101	timeup	normal	1	Die Zeit ist abgelaufen.\nDoch der Weg ist noch nicht zu Ende.
102	timeup	normal	2	Nicht weit genug.\nAber weiter als zuvor.
103	timeup	normal	3	Der Lauf endete hier.\nDie Richtung bleibt bestehen.
104	timeup	normal	4	Die Zeit war schneller.\nDiesmal.
105	timeup	normal	5	Zu spät für den Abschluss.\nNicht zu spät für den nächsten Versuch.
106	timeup	normal	6	Der Moment ist vorbei.\nDie Spur bleibt.
107	timeup	normal	7	Es hat nicht gereicht.\nDoch es war nicht leer.
108	timeup	normal	8	Die Zeit schloss sich.\nDer Weg muss es nicht tun.
109	timeup	normal	9	Der Lauf verstummte.\nNicht dein Wille.
110	timeup	normal	10	Diesmal blieb das Ende fern.\nDie Erkenntnis nicht.
111	timeup	normal	11	Du bist nicht angekommen.\nAber du bist gegangen.
112	timeup	normal	12	Die Uhr blieb unerbittlich.\nDu kannst es erneut aufnehmen.
113	timeup	normal	13	Der Schritt kam.\nNur das Ziel kam nicht mehr rechtzeitig.
114	timeup	normal	14	Die Zeit war vorbei,\nbevor der Weg es war.
115	timeup	normal	15	Nicht jeder Lauf wird vollendet.\nDieser hat dennoch etwas getragen.
116	timeup	normal	16	Es endete früher,\nals du es gewollt hättest.
117	timeup	normal	17	Die Strecke blieb offen.\nDie Zeit tat es nicht.
118	timeup	normal	18	Was fehlte, war nicht Mut.\nNur Zeit.
119	timeup	normal	19	Der Versuch brach ab.\nDie Möglichkeit nicht.
120	timeup	normal	20	Die Zeit nahm dir das Ende.\nNicht den nächsten Anfang.
121	timeup	hard	1	Sogar das Polarlicht vergeht.\nKomm mit neuem Schritt zurück.
122	timeup	hard	2	In einer zerbrechlichen Welt\nzerschellt Eile vor der Klarheit.
123	timeup	hard	3	Der Augenblick ist vergangen.\nSein Sinn nicht.
124	timeup	hard	4	Der Winter kann warten.\nDu kannst es auch.
125	timeup	hard	5	Der Himmel zog weiter.\nDu wirst es auch tun.
126	timeup	hard	6	Die Geschichte geht weiter.\nZu Ende ist sie noch nicht.
127	timeup	hard	7	Die Sterne waren da.\nUnd du kannst wiederkommen.
128	timeup	hard	8	Das Eis kennt Geduld.\nDu wirst sie ebenfalls brauchen.
129	timeup	hard	9	Der Himmel zog weiter.\nDu kannst es auch.
130	timeup	hard	10	Der Norden hat warten gelernt.\nLern du es ebenfalls.
131	timeup	hard	11	Dies ist nur ein Zwischenstück.\nVorbei ist es noch nicht.
132	timeup	hard	12	Wie ziehende Wolken:\nVerlier deinen Fluss nicht.
133	timeup	hard	13	Der Klang war nah.\nDie Distanz war real.\nDoch dieser Augenblick ließ sich nicht halten.
134	timeup	hard	14	Du warst nah dran.\nNur die Zeit war es nicht.
135	timeup	hard	15	Die Welt blieb bei ihren Regeln.\nDu hast ihren Rand berührt.
136	timeup	hard	16	Den Schatz hast du nicht erreicht.\nDoch das Signal war echt.
137	timeup	hard	17	Nichts hat sich verändert.\nNur dein Standpunkt.
138	timeup	hard	18	Kein Glück.\nNur Ausrichtung.
139	timeup	hard	19	Der Moment ist entglitten,\naber die Spur blieb.
140	timeup	hard	20	Du hast zerbrechlichen Boden überquert\nund den Horizont ungebrochen gelassen.
141	timeup	hard	21	Zu Ende ging nur die Zeit.\nNicht die Möglichkeit.
142	timeup	hard	22	Die Sonne sank,\nund Schatten legten sich erneut über die Welt.
143	timeup	hard	23	Die letzten Sandkörner fielen,\nund die Geschichte klang leise aus.
144	timeup	hard	24	Der Wind strich hindurch,\nund die Spuren vergingen spurlos.
145	timeup	hard	25	Die Flut kam,\nund was da war, kehrte ins Meer zurück.
146	timeup	hard	26	Stille.\nNur die Zeit ging weiter.
147	timeup	hard	27	Sieg und Niederlage\nsind kaum mehr als Körner im Sand.
148	timeup	hard	28	Der Weg geht weiter — oder endet.\nSo oder so ruht er auf derselben Erde.
149	timeup	hard	29	Die Zeit dieser Runde ist vorbei.\nDas Land bleibt.
150	timeup	hard	30	Der Weg ist noch da.\nNur deine Schritte hielten an.
151	timeup	hard	31	Deine Zeit lief ab.\nDer Himmel nicht.
152	timeup	hard	32	Es war keine Zurückweisung.\nNur Stille.
153	timeup	hard	33	Die Welt ist noch unversehrt.\nDu kannst verändert zurückkehren.
154	timeup	hard	34	Die Zeit dieser Runde endete.\nDer Wald bleibt.
155	timeup	hard	35	Die Distanz schloss sich.\nDie Zeit behielt ihren Takt.
156	timeup	hard	36	Deine Zeit kam zum Stillstand.\nDer Himmel zog weiter.
157	timeup	hard	37	Keine Zurückweisung.\nNur Stille.
158	timeup	hard	38	Der Weg ist noch hier.\nDu kannst verändert zurückkehren.
