key	index	source_text	target_text
success.normal	22	"Harmony was restored.
Everything had been for this moment."	
success.normal	23	"RUN COMPLETE.
Clear. Found it.
That's enough."	
success.normal	24	"RUN COMPLETE.
The path held.
So did you."	
success.normal	25	"The sky has kept moving.
So can you."	
success.normal	26	"RUN COMPLETE.
A quiet result.
The weight of real work."	
success.normal	27	"You only walked the path
the world had laid out for you."	
success.normal	28	"The ground didn’t give way.
It trusted your steps."	
success.normal	29	"This moment aligned
with the stars’ ancient rhythm."	
success.normal	30	"You didn’t take anything.
 You understood something."	
success.normal	31	"You didn’t gain a thing.
You only saw the truth for what it was."	
success.normal	32	"You didn’t take this place.
You belonged here."	
success.normal	33	"You walked a road
older than memory itself."	
success.normal	34	"The earth did not resist.
It recognized you."	
success.normal	35	"This moment aligned
 with the stillness of the stars."	
success.hard	1	"In the north wind,
clarity outlasts speed."	
success.hard	2	"The center was found.
 The world came to rest."	
success.hard	3	"The stars stay silent.
Your record does the speaking."	
success.hard	4	"The result  remained.
The position changed."	
success.hard	5	"Between ice and glass,
you chose control."	
success.hard	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."	
success.hard	7	"Some treasures still await.
Next time, a different path."	
success.hard	8	"The sky didn’t change.
You did."	
success.hard	9	"The moment passed.
What remained was order."	
success.hard	10	"Winter is honest.
So was your run."	
success.hard	11	"The stars aligned for a moment.
You noticed."	
success.hard	12	"The distance closed.
Time did not."	
success.hard	13	"The world’s rules stood firm.
 And the signal of possibility was real."	
success.hard	14	"The path closed quietly.
You were already through."	
success.hard	15	"Nothing changed.
Only your position did."	
success.hard	16	"Not luck.
Alignment."	
success.hard	17	"The moment passed.
The record remains."	
success.hard	18	"The outcome didn’t change.
Still, you moved forward."	
success.hard	19	"The output didn’t change.
But you reached a new level."	
success.hard	20	"The ending was the same.
But the one who reached it had changed."	
success.hard	21	"The destination is the same
—but you’re no longer the traveler you once were."	
success.hard	22	"Light fell evenly, ,
and every shadow vanished."	
success.hard	23	"The wind fell silent.
and everything returned to where it belonged."	
success.hard	24	"A moment of silence.
The world steadied its breath."	
success.hard	25	"The record is etched deep in the sand—
beyond the reach of the wind."	
success.hard	26	"Harmony was restored.
Everything had been for this moment."	
success.hard	27	"Time slipped by in silence,
tucked away in the corners of memory."	
success.hard	28	"The sky shifted in color,
and one story came to its end."	
success.hard	29	"The waves grew calm,
and the sea hid its depths once more."	
success.hard	30	"The footsteps stopped,
and only the place remained."	
success.hard	31	"Victory and defeat 
are nothing more than grains of sand."	
success.hard	32	"The road goes on—or it ends.
Either way, it lies on the same earth."	
timeup.easy	1	"Time ran out.
Nothing else did."	
timeup.easy	2	"The treasure can wait.
So can you."	
timeup.easy	3	"Breathe in.
Then again."	
timeup.easy	4	"That’s all for now.
On to the next step."	
timeup.easy	5	"You're still here.
That’s what matters."	
timeup.easy	6	"The run ended.
You didn’t."	
timeup.easy	7	"TIME'S UP.
The run ended.
You didn't."	
timeup.easy	8	"TIME'S UP.
The rules don’t change.
Again."	
timeup.easy	9	"TIME'S UP.
“So close” is real."	
timeup.easy	10	"The sun sank,
and shadow covered the world once again."	
timeup.easy	11	"The last grains of sand fell,
and the story quietly came to a close."	
timeup.easy	12	"The wind swept through,
and the footprints vanished without a trace."	
timeup.easy	13	"The tide came in,
What once had been there returned to the sea."	
timeup.easy	14	"Silence.
Only time passed through."	
timeup.easy	15	"Victory and defeat 
are nothing more than grains of sand."	
timeup.easy	16	"The road goes on—or it ends.
Either way, it lies on the same earth."	
timeup.normal	1	"The distance closed.
Time did not."	
timeup.normal	2	"The world kept its rules.
You touched the edge."	
timeup.normal	3	"You didn’t make it.
But the signal was real."	
timeup.normal	4	"Some treasures still await.
Let’s try a different path."	
timeup.normal	5	"The result remained.
The position changed."	
timeup.normal	6	"Time ran out.
Meaning didn't."	
timeup.normal	7	"So close.
The sound said so."	
timeup.normal	8	"The map is still open.
Come back to it."	
timeup.normal	9	"The world’s rules stood firm.
The signal of possibility was real."	
timeup.normal	10	The world kept its rules.	
timeup.normal	11	"The moment passed.
The record remains."	
timeup.normal	12	"The sun sank,
and shadow covered the world once again."	
timeup.normal	13	"The last grains of sand fell,
and the story quietly came to a close."	
timeup.normal	14	"The wind swept through,
and the footprints vanished without a trace."	
timeup.normal	15	"The tide came in,
What once had been there returned to the sea."	
timeup.normal	16	"Silence.
Only time passed through."	
timeup.normal	17	"Victory and defeat 
are nothing more than grains of sand."	
timeup.normal	18	"The road goes on—or it ends.
Either way, it lies on the same earth."	
timeup.normal	19	"> Time ran out.
> 
> Nothing else did."	
timeup.normal	20	"> The outcome didn’t change.
> 
> But your position did."	
timeup.hard	1	"Even the aurora fades.
Come back with a new stride."	
timeup.hard	2	"In a fragile world,
haste shatters clarity before it can be found."	
timeup.hard	3	"The moment slipped away.
The meaning did not."	
timeup.hard	4	"Winter is patient.
Be the same."	
timeup.hard	5	"The sky kept moving.
So will you."	
timeup.hard	6	"The story moves on.
The end is not yet."	
timeup.hard	7	"The stars were there, watching.
Again."	
timeup.hard	8	"Ice takes its time.
Neither do you."	
timeup.hard	9	"The sky kept moving.
So can you."	
timeup.hard	10	"The north has learned to wait.
So should you."	
timeup.hard	11	"This is an interlude
—It’s not over."	
timeup.hard	12	"Like drifting clouds,
don’t lose your flow—like a river."	
timeup.hard	13	"The sound was near.
The distance was real.
But that moment can’t be saved."	
timeup.hard	14	"You were closing in.
Only time wasn’t."	
timeup.hard	15	"The world held to its rules.
You touched the edge of them."	
timeup.hard	16	"You didn’t reach the treasure. 
But the signal was real."	
timeup.hard	17	"Nothing changed.
Only your position did."	
timeup.hard	18	"It wasn’t luck.
Alignment."	
timeup.hard	19	"The moment slipped away,
but the record stayed."	
timeup.hard	20	"You crossed fragile ground
and left the horizon unbroken."	
timeup.hard	21	"Nothing changed.
 Only your position did.
Not luck.
Alignment.
The moment passed.
The record remains."	
timeup.hard	22	"The sun sank,
and shadow covered the world once again."	
timeup.hard	23	"The last grains of sand fell,
and the story quietly came to a close."	
timeup.hard	24	"The wind swept through,
and the footprints vanished without a trace."	
timeup.hard	25	"The tide came in,
What once had been there returned to the sea."	
timeup.hard	26	"Silence.
Only time passed through."	
timeup.hard	27	"Victory and defeat 
are nothing more than grains of sand."	
timeup.hard	28	"The road goes on—or it ends.
Either way, it lies on the same earth."	
timeup.hard	29	"The season closed.
The land remained."	
timeup.hard	30	"The path The path remains.
Only your steps stopped."	
timeup.hard	31	"Your time ran out.
The sky didn’t."	
timeup.hard	32	"It wasn’t rejection.
Only silence."	
timeup.hard	33	"The world is still intact.
You can return—changed."	
timeup.hard	34	"The season ended.
The forest remains."	
timeup.hard	35	"The distance was closing.
Time kept its rhythm."	
timeup.hard	36	"Your time came to a halt.
The sky kept moving."	
timeup.hard	37	"Not rejection
Just silence."	
timeup.hard	38	"The path is still here.
You can come back—changed."	
