lang	pool	index	en_source	translation	note
hi	outcome.success.hard.pool	3	The stars stay silent.\nYour record does the speaking.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	4	The result  remained.\nThe position changed.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	5	Between ice and glass,\nyou chose control.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	6	The waves fell quiet,\nand the sea reclaimed its hidden depths.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	7	Some treasures still await.\nNext time, a different path.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	8	The sky didn’t change.\nYou did.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	9	The moment passed.\nWhat remained was order.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	10	Winter is honest.\nSo was your run.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	11	The stars aligned for a moment.\nYou noticed.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	12	The distance closed.\nTime did not.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	13	The world’s rules stood firm.\n And the signal of possibility was real.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	14	The path closed quietly.\nYou were already through.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	15	Nothing changed.\nOnly your position did.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	16	Not luck.\nAlignment.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	17	The moment passed.\nThe record remains.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	18	The outcome didn’t change.\nStill, you moved forward.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	19	The output didn’t change.\nBut you reached a new level.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	20	The ending was the same.\nBut the one who reached it had changed.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	21	The destination is the same\n—but you’re no longer the traveler you once were.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	22	Light fell evenly, ,\nand every shadow vanished.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	23	The wind fell silent.\nand everything returned to where it belonged.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	24	A moment of silence.\nThe world steadied its breath.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	25	The record is etched deep in the sand—\nbeyond the reach of the wind.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	26	Harmony was restored.\nEverything had been for this moment.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	27	Time slipped by in silence,\ntucked away in the corners of memory.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	28	The sky shifted in color,\nand one story came to its end.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	29	The waves grew calm,\nand the sea hid its depths once more.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	30	The footsteps stopped,\nand only the place remained.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	31	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	32	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	1	Time ran out.\nNothing else did.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	2	The treasure can wait.\nSo can you.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	3	Breathe in.\nThen again.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	4	That’s all for now.\nOn to the next step.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	5	You're still here.\nThat’s what matters.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	6	The run ended.\nYou didn’t.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	7	TIME'S UP.\nThe run ended.\nYou didn't.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	8	TIME'S UP.\nThe rules don’t change.\nAgain.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	9	TIME'S UP.\n“So close” is real.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	10	The sun sank,\nand shadow covered the world once again.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	11	The last grains of sand fell,\nand the story quietly came to a close.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	12	The wind swept through,\nand the footprints vanished without a trace.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	13	The tide came in,\nWhat once had been there returned to the sea.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	14	Silence.\nOnly time passed through.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	15	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
hi	outcome.timeup.easy.pool	16	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	1	The distance closed.\nTime did not.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	2	The world kept its rules.\nYou touched the edge.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	3	You didn’t make it.\nBut the signal was real.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	4	Some treasures still await.\nLet’s try a different path.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	5	The result remained.\nThe position changed.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	6	Time ran out.\nMeaning didn't.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	7	So close.\nThe sound said so.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	8	The map is still open.\nCome back to it.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	9	The world’s rules stood firm.\nThe signal of possibility was real.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	10	The world kept its rules.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	11	The moment passed.\nThe record remains.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	12	The sun sank,\nand shadow covered the world once again.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	13	The last grains of sand fell,\nand the story quietly came to a close.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	14	The wind swept through,\nand the footprints vanished without a trace.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	15	The tide came in,\nWhat once had been there returned to the sea.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	16	Silence.\nOnly time passed through.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	17	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	18	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	19	> Time ran out.\n> \n> Nothing else did.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	20	> The outcome didn’t change.\n> \n> But your position did.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	1	Even the aurora fades.\nCome back with a new stride.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	2	In a fragile world,\nhaste shatters clarity before it can be found.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	3	The moment slipped away.\nThe meaning did not.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	4	Winter is patient.\nBe the same.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	5	The sky kept moving.\nSo will you.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	6	The story moves on.\nThe end is not yet.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	7	The stars were there, watching.\nAgain.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	8	Ice takes its time.\nNeither do you.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	9	The sky kept moving.\nSo can you.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	10	The north has learned to wait.\nSo should you.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	11	This is an interlude\n—It’s not over.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	12	Like drifting clouds,\ndon’t lose your flow—like a river.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	13	The sound was near.\nThe distance was real.\nBut that moment can’t be saved.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	14	You were closing in.\nOnly time wasn’t.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	15	The world held to its rules.\nYou touched the edge of them.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	16	You didn’t reach the treasure. \nBut the signal was real.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	17	Nothing changed.\nOnly your position did.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	18	It wasn’t luck.\nAlignment.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	19	The moment slipped away,\nbut the record stayed.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	20	You crossed fragile ground\nand left the horizon unbroken.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	21	Nothing changed.\n Only your position did.\nNot luck.\nAlignment.\nThe moment passed.\nThe record remains.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	22	The sun sank,\nand shadow covered the world once again.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	23	The last grains of sand fell,\nand the story quietly came to a close.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	24	The wind swept through,\nand the footprints vanished without a trace.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	25	The tide came in,\nWhat once had been there returned to the sea.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	26	Silence.\nOnly time passed through.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	27	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	28	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	29	The season closed.\nThe land remained.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	30	The path The path remains.\nOnly your steps stopped.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	31	Your time ran out.\nThe sky didn’t.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	32	It wasn’t rejection.\nOnly silence.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	33	The world is still intact.\nYou can return—changed.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	34	The season ended.\nThe forest remains.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	35	The distance was closing.\nTime kept its rhythm.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	36	Your time came to a halt.\nThe sky kept moving.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	37	Not rejection\nJust silence.		exact_en_158_full_rebuild
hi	outcome.timeup.hard.pool	38	The path is still here.\nYou can come back—changed.		exact_en_158_full_rebuild
