lang	key	expected	written	backup
ja	timeup.easy	16	16	src/main/resources/languages/ja.yml.outcome158fix_20260425_142653
ja	timeup.normal	20	20	src/main/resources/languages/ja.yml.outcome158fix_20260425_142653
ja	timeup.hard	38	38	src/main/resources/languages/ja.yml.outcome158fix_20260425_142653
ko	success.easy	17	17	src/main/resources/languages/ko.yml.outcome158fix_20260425_142653
ko	success.normal	35	35	src/main/resources/languages/ko.yml.outcome158fix_20260425_142653
ko	success.hard	32	32	src/main/resources/languages/ko.yml.outcome158fix_20260425_142653
ko	timeup.easy	16	16	src/main/resources/languages/ko.yml.outcome158fix_20260425_142653
ko	timeup.normal	20	20	src/main/resources/languages/ko.yml.outcome158fix_20260425_142653
ko	timeup.hard	38	38	src/main/resources/languages/ko.yml.outcome158fix_20260425_142653
la	success.easy	17	17	src/main/resources/languages/la.yml.outcome158fix_20260425_142653
la	success.normal	35	35	src/main/resources/languages/la.yml.outcome158fix_20260425_142653
la	success.hard	32	32	src/main/resources/languages/la.yml.outcome158fix_20260425_142653
la	timeup.easy	16	16	src/main/resources/languages/la.yml.outcome158fix_20260425_142653
la	timeup.normal	20	20	src/main/resources/languages/la.yml.outcome158fix_20260425_142653
la	timeup.hard	38	38	src/main/resources/languages/la.yml.outcome158fix_20260425_142653
lzh	success.easy	17	17	src/main/resources/languages/lzh.yml.outcome158fix_20260425_142653
lzh	success.normal	35	35	src/main/resources/languages/lzh.yml.outcome158fix_20260425_142653
lzh	success.hard	32	32	src/main/resources/languages/lzh.yml.outcome158fix_20260425_142653
lzh	timeup.easy	16	16	src/main/resources/languages/lzh.yml.outcome158fix_20260425_142653
lzh	timeup.normal	20	20	src/main/resources/languages/lzh.yml.outcome158fix_20260425_142653
lzh	timeup.hard	38	38	src/main/resources/languages/lzh.yml.outcome158fix_20260425_142653
nl	success.easy	17	17	src/main/resources/languages/nl.yml.outcome158fix_20260425_142653
nl	success.normal	35	35	src/main/resources/languages/nl.yml.outcome158fix_20260425_142653
nl	success.hard	32	32	src/main/resources/languages/nl.yml.outcome158fix_20260425_142653
nl	timeup.easy	16	16	src/main/resources/languages/nl.yml.outcome158fix_20260425_142653
nl	timeup.normal	20	20	src/main/resources/languages/nl.yml.outcome158fix_20260425_142653
nl	timeup.hard	38	38	src/main/resources/languages/nl.yml.outcome158fix_20260425_142653
pt	success.easy	17	17	src/main/resources/languages/pt.yml.outcome158fix_20260425_142653
pt	success.normal	35	35	src/main/resources/languages/pt.yml.outcome158fix_20260425_142653
pt	success.hard	32	32	src/main/resources/languages/pt.yml.outcome158fix_20260425_142653
pt	timeup.easy	16	16	src/main/resources/languages/pt.yml.outcome158fix_20260425_142653
pt	timeup.normal	20	20	src/main/resources/languages/pt.yml.outcome158fix_20260425_142653
pt	timeup.hard	38	38	src/main/resources/languages/pt.yml.outcome158fix_20260425_142653
ru	success.easy	17	17	src/main/resources/languages/ru.yml.outcome158fix_20260425_142653
ru	success.normal	35	35	src/main/resources/languages/ru.yml.outcome158fix_20260425_142653
ru	success.hard	32	32	src/main/resources/languages/ru.yml.outcome158fix_20260425_142653
ru	timeup.easy	16	16	src/main/resources/languages/ru.yml.outcome158fix_20260425_142653
ru	timeup.normal	20	20	src/main/resources/languages/ru.yml.outcome158fix_20260425_142653
ru	timeup.hard	38	38	src/main/resources/languages/ru.yml.outcome158fix_20260425_142653
sa	success.easy	17	17	src/main/resources/languages/sa.yml.outcome158fix_20260425_142654
sa	success.normal	35	35	src/main/resources/languages/sa.yml.outcome158fix_20260425_142654
sa	success.hard	32	32	src/main/resources/languages/sa.yml.outcome158fix_20260425_142654
sa	timeup.easy	16	16	src/main/resources/languages/sa.yml.outcome158fix_20260425_142654
sa	timeup.normal	20	20	src/main/resources/languages/sa.yml.outcome158fix_20260425_142654
sa	timeup.hard	38	38	src/main/resources/languages/sa.yml.outcome158fix_20260425_142654
sv	success.easy	17	17	src/main/resources/languages/sv.yml.outcome158fix_20260425_142654
sv	success.normal	35	35	src/main/resources/languages/sv.yml.outcome158fix_20260425_142654
sv	success.hard	32	32	src/main/resources/languages/sv.yml.outcome158fix_20260425_142654
sv	timeup.easy	16	16	src/main/resources/languages/sv.yml.outcome158fix_20260425_142654
sv	timeup.normal	20	20	src/main/resources/languages/sv.yml.outcome158fix_20260425_142654
sv	timeup.hard	38	38	src/main/resources/languages/sv.yml.outcome158fix_20260425_142654
zh_tw	success.easy	17	17	src/main/resources/languages/zh_tw.yml.outcome158fix_20260425_142654
zh_tw	success.normal	35	35	src/main/resources/languages/zh_tw.yml.outcome158fix_20260425_142654
zh_tw	success.hard	32	32	src/main/resources/languages/zh_tw.yml.outcome158fix_20260425_142654
zh_tw	timeup.easy	16	16	src/main/resources/languages/zh_tw.yml.outcome158fix_20260425_142654
zh_tw	timeup.normal	20	20	src/main/resources/languages/zh_tw.yml.outcome158fix_20260425_142654
zh_tw	timeup.hard	38	38	src/main/resources/languages/zh_tw.yml.outcome158fix_20260425_142654
