lang	status	key	issues	english_value	current_value
ja	WARN	command.quoteFavorite.help.rereadTitle	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7title rereads using the title display	&7title はタイトル表示で再読します
ojp	WARN	command.quoteFavorite.help.rereadTitle	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7title rereads using the title display	&7title は題として言の葉を再び示す
ja	WARN	command.quoteFavorite.help.title	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&bQuote Favorite commands	&bQuoteFavorite コマンド一覧
ojp	WARN	command.quoteFavorite.help.title	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&bQuote Favorite commands	&bQuoteFavorite 命の目録
ja	WARN	command.quoteFavorite.listHeader	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&bFavorites ({count})	&bお気に入り一覧（{count}件）
ojp	WARN	command.quoteFavorite.listHeader	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&bFavorites ({count})	&b秘蔵の目録（{count}件）
asl_gloss	WARN	command.quoteFavorite.listHeader	WARN_EQUALS_ENGLISH	&bFavorites ({count})	&bFAVORITES ({count})
ja	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
de	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
it	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
sv	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
es	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
fi	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
fr	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
hi	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
is	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
ko	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
la	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
lzh	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
nl	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
ojp	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
pt	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
ru	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
sa	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
zh_tw	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
asl_gloss	WARN	command.quoteFavorite.listSeparator	WARN_EQUALS_ENGLISH	&7------------------------------	&7------------------------------
ja	WARN	command.quoteFavorite.removeUsage	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&cUsage: /quoteFavorite remove <id>	&c使い方: /quoteFavorite remove <id>
ojp	WARN	command.quoteFavorite.removeUsage	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&cUsage: /quoteFavorite remove <id>	&c用ゐ方: /quoteFavorite remove <id>
ja	WARN	command.quoteFavorite.unknownSubcommand	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&cUnknown subcommand. See /quoteFavorite help.	&c不明なサブコマンドです。/quoteFavorite help を確認してください。
ojp	WARN	command.quoteFavorite.unknownSubcommand	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&cUnknown subcommand. See /quoteFavorite help.	&c知れぬ副命なり。/quoteFavorite help を見定めし給へ。
asl_gloss	WARN	command.quoteFavorite.unknownSubcommand	WARN_EQUALS_ENGLISH	&cUnknown subcommand. See /quoteFavorite help.	&cUNKNOWN SUBCOMMAND. SEE /quoteFavorite help.
ja	WARN	command.reload.fail	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&cReload failed: {reason}	&c再読み込みに失敗しました: {reason}
hi	NG	command.reload.fail	NG_MISSING_KEY	&cReload failed: {reason}	
lzh	NG	command.reload.fail	NG_MISSING_KEY	&cReload failed: {reason}	
ojp	WARN	command.reload.fail	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&cReload failed: {reason}	&c読み直しに不成し遂げたり: {reason}
pt	NG	command.reload.fail	NG_MISSING_KEY	&cReload failed: {reason}	
zh_tw	NG	command.reload.fail	NG_MISSING_KEY	&cReload failed: {reason}	
hi	NG	command.reload.start	NG_MISSING_KEY	&7Reloading config/messages...	
lzh	NG	command.reload.start	NG_MISSING_KEY	&7Reloading config/messages...	
pt	NG	command.reload.start	NG_MISSING_KEY	&7Reloading config/messages...	
zh_tw	NG	command.reload.start	NG_MISSING_KEY	&7Reloading config/messages...	
hi	NG	command.reload.success	NG_MISSING_KEY	&aReload complete.	
lzh	NG	command.reload.success	NG_MISSING_KEY	&aReload complete.	
pt	NG	command.reload.success	NG_MISSING_KEY	&aReload complete.	
zh_tw	NG	command.reload.success	NG_MISSING_KEY	&aReload complete.	
ja	WARN	command.stageCleanup.cleaned	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	[TreasureRun] Cleaned up {count} difficulty blocks.	[TreasureRun] 難易度ブロックを {count} 個片付けました。
ojp	WARN	command.stageCleanup.cleaned	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	[TreasureRun] Cleaned up {count} difficulty blocks.	[TreasureRun] 難きほどの石ども {count} 個、取り払ひたり。
ja	WARN	command.stageCleanup.managerNotReady	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	[TreasureRun] The stage manager is not initialized.	[TreasureRun] ステージ管理が初期化されていません。
ojp	WARN	command.stageCleanup.managerNotReady	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	[TreasureRun] The stage manager is not initialized.	[TreasureRun] 舞台を司るもの、いまだ整はず。
ja	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	MySQL / Repository not ready.	MySQL / Repository not ready.
de	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
it	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
sv	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
es	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
fi	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
fr	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
hi	NG	commands.mysql_repository_not_ready_72df0af1_119	NG_MISSING_KEY	MySQL / Repository not ready.	
is	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
ko	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
la	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
lzh	NG	commands.mysql_repository_not_ready_72df0af1_119	NG_MISSING_KEY	MySQL / Repository not ready.	
nl	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
ojp	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	MySQL / Repository not ready.	MySQL / Repository not ready.
pt	NG	commands.mysql_repository_not_ready_72df0af1_119	NG_MISSING_KEY	MySQL / Repository not ready.	
ru	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
sa	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
zh_tw	NG	commands.mysql_repository_not_ready_72df0af1_119	NG_MISSING_KEY	MySQL / Repository not ready.	
asl_gloss	WARN	commands.mysql_repository_not_ready_72df0af1_119	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
ja	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	MySQL / Repository not ready.	MySQL / Repository not ready.
de	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
it	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
sv	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
es	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
fi	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
fr	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
hi	NG	commands.mysql_repository_not_ready_72df0af1_93	NG_MISSING_KEY	MySQL / Repository not ready.	
is	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
ko	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
la	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
lzh	NG	commands.mysql_repository_not_ready_72df0af1_93	NG_MISSING_KEY	MySQL / Repository not ready.	
nl	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
ojp	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	MySQL / Repository not ready.	MySQL / Repository not ready.
pt	NG	commands.mysql_repository_not_ready_72df0af1_93	NG_MISSING_KEY	MySQL / Repository not ready.	
ru	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
sa	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
zh_tw	NG	commands.mysql_repository_not_ready_72df0af1_93	NG_MISSING_KEY	MySQL / Repository not ready.	
asl_gloss	WARN	commands.mysql_repository_not_ready_72df0af1_93	WARN_EQUALS_ENGLISH	MySQL / Repository not ready.	MySQL / Repository not ready.
ja	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
de	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
it	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
sv	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
es	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
fi	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
fr	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
hi	NG	commands.quotefavorite_book_open_cata_055de855	NG_MISSING_KEY	/quoteFavorite book            - open catalog (full)	
is	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
ko	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
la	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
lzh	NG	commands.quotefavorite_book_open_cata_055de855	NG_MISSING_KEY	/quoteFavorite book            - open catalog (full)	
nl	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
ojp	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
pt	NG	commands.quotefavorite_book_open_cata_055de855	NG_MISSING_KEY	/quoteFavorite book            - open catalog (full)	
ru	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
sa	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
zh_tw	NG	commands.quotefavorite_book_open_cata_055de855	NG_MISSING_KEY	/quoteFavorite book            - open catalog (full)	
asl_gloss	WARN	commands.quotefavorite_book_open_cata_055de855	WARN_EQUALS_ENGLISH	/quoteFavorite book            - open catalog (full)	/quoteFavorite book            - open catalog (full)
ja	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
de	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
it	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
sv	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
es	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
fi	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
fr	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
hi	NG	commands.quotefavorite_book_other_ope_bdcbafba	NG_MISSING_KEY	/quoteFavorite book other      - open OTHER chapter	
is	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
ko	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
la	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
lzh	NG	commands.quotefavorite_book_other_ope_bdcbafba	NG_MISSING_KEY	/quoteFavorite book other      - open OTHER chapter	
nl	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
ojp	WARN	commands.quotefavorite_book_other_ope_bdcbafba	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	/quoteFavorite book other      - open OTHER chapter	/quoteFavorite book other      - open OTHER chapter
pt	NG	commands.quotefavorite_book_other_ope_bdcbafba	NG_MISSING_KEY	/quoteFavorite book other      - open OTHER chapter	
